763.008;271.555;Nonnenhorn Hafen
765.382;270.947;Wasserburg (Bodensee) Hafen
767.546;269.783;Bad Schachen
768.891;268.310;Lindau Hafen
906.532;340.273;München Hbf
906.403;340.411;München Hbf Gl. 27-36
909.400;334.500;München Hbf Nord
905.794;340.422;München Hackerbrücke
906.686;340.386;München Hbf (Tief)
630.070;316.358;Freiburg (Breisgau) Busbahnhof
753.570;279.840;Friedrichshafen-Hafen
758.382;274.215;Langenargen
762.459;273.742;Kressbronn
729.234;292.377;Überlingen
737.676;284.003;Meersburg(Bodensee)
1100.940;570.838;Praha hl. n.
730.995;284.875;Mainau, Haupteingang (Bus)
906.312;340.247;München Hbf Gl. 5-10
674.862;279.885;Trasadingen, Abzw. Bahnhof
729.472;282.183;Konstanz-Fürstenberg
614.660;268.770;Riehen Niederholz
630.057;316.334;Freiburg (D), Hauptbhf/ZOB (1)
630.057;316.334;Freiburg (D), Hauptbhf/ZOB (2)
909.400;334.500;München Hbf Nord
905.889;340.477;München ZOB (Hackerbrücke)
728.234;283.834;Wollmatingen
704.556;291.607;Singen (Hohentwiel) Industrie
732.244;285.400;Mainau (Bodensee)
729.100;292.000;Überlingen Hafen
763.938;234.491;Feldkirch
757.803;227.644;Forst (FL) Hilti
760.800;231.200;Schaanwald
759.331;229.831;Nendeln
756.862;226.216;Schaan-Vaduz
833.913;196.182;Nauders Bergkastelbahn
833.810;204.770;Pfunds Kajetansbrücke
833.375;197.561;Nauders Mühle
766.347;238.121;Rankweil
769.365;248.405;Hohenems
773.557;254.420;Dornbirn
772.660;253.896;Dornbirn Schoren
773.983;264.268;Bregenz Hafen
663.926;101.740;Villadossola
663.704;97.308;Piedimulera
673.600;89.800;Ornavasso
676.766;87.430;Gravellona Toce
590.952;64.730;Aosta
666.300;107.450;Domodossola (I)
684.855;82.025;Stresa
687.194;67.712;Arona
706.029;57.443;Gallarate
711.338;52.583;Busto Arsizio
725.440;42.633;Rho
728.937;42.390;Rho Fiera Expo Milano 2015
700.499;94.599;Luino (I)
695.757;90.371;Porto Valtravaglia
694.983;88.974;Calde
691.981;83.869;Laveno-Mombello
699.249;53.635;Malpensa Aeroporto/Airport
692.572;81.008;Sangiano
695.146;77.512;Besozzo
698.118;72.757;Travedona-Biandronno
698.103;70.865;Ternate-Varano Borghi
700.863;65.082;Mornago-Cimbro
702.980;61.360;Besnate
713.500;84.500;Porto Ceresio
708.500;75.200;Varese
727.094;74.080;Como S. Giovanni
727.645;71.503;Albate-Camerlata
728.031;66.521;Cucciago
729.250;63.780;Cantù-Cermenate
730.010;61.687;Carimate
732.083;58.589;Camnago-Lentate
737.501;56.298;Seregno
738.800;53.359;Desio
740.188;52.079;Lissone-Muggiò
743.261;48.679;Monza
740.668;44.862;Sesto S. Giovanni
738.797;41.690;Milano Greco Pirelli
751.500;131.600;Chiavenna
809.200;117.500;Tirano FS
732.200;31.600;Milano Porta Genova
736.742;38.479;Milano Porta Garibaldi
738.099;38.726;Milano Centrale
740.644;38.638;Milano Lambrate
837.936;175.024;Mals/Malles
703.000;51.600;Ferno-Lonate Pozzolo
710.300;51.400;Busto Arsizio Nord
699.252;53.633;Malpensa Aeroporto
611.362;266.309;Basel SBB
610.075;268.852;Basel St. Johann
616.844;264.554;Schweizerhalle
615.757;264.782;Muttenz
618.993;263.577;Pratteln
621.132;261.227;Frenkendorf-Füllinsdorf
622.063;259.340;Liestal
624.215;257.763;Lausen
626.281;257.446;Itingen
628.154;256.952;Sissach
630.839;257.314;Gelterkinden
633.864;255.093;Tecknau
630.098;255.495;Diepflingen
631.142;254.328;Sommerau
631.079;252.811;Rümlingen
630.882;250.988;Buckten
631.528;249.117;Läufelfingen
635.174;246.238;Trimbach
613.619;265.780;Basel St. Jakob
611.345;260.244;Reinach BL Dorf
610.280;265.186;Binningen
610.152;264.642;Bottmingermühle
610.015;263.735;Bottmingen
609.090;262.675;Oberwil BL
608.932;260.960;Therwil
608.093;259.229;Ettingen
606.299;259.630;Witterswil
605.376;259.823;Bättwil
604.562;259.812;Flüh
603.485;260.215;Leymen
601.540;258.915;Rodersdorf
610.496;265.898;Dorenbach
608.788;261.761;Hüslimatt
611.759;266.743;Basel Aeschenplatz
613.625;262.390;Münchenstein Dorf
613.582;260.427;Arlesheim Dorf
612.992;259.889;Dornach
611.252;266.749;Basel Heuwaage
623.465;255.675;Talhaus
623.073;258.450;Altmarkt
622.841;256.578;Bubendorf
624.332;254.685;Lampenberg-Ramlinsburg
625.088;253.011;Hölstein
623.643;250.444;Niederdorf
623.426;249.079;Oberdorf BL
623.424;248.430;Waldenburg
623.418;249.637;Oberdorf BL Winkelweg
619.740;247.012;Wasserfallen
612.692;268.618;Basel Bad Bf
624.839;252.515;Hölstein Süd
624.514;252.053;Hölstein Weidbächli
623.892;251.083;Hirschlang
613.521;263.224;Hofmatt
612.804;265.173;Dreispitz
619.454;248.851;Reigoldswil LRW
582.049;229.906;Tavannes
584.006;231.611;Reconvilier
587.681;231.989;Malleray-Bévilard
589.940;232.044;Sorvilier
592.691;232.190;Court
595.643;236.643;Moutier
593.309;245.688;Delémont
604.830;252.061;Laufen
606.928;253.670;Zwingen
611.568;254.511;Grellingen
612.430;255.863;Duggingen
612.397;257.453;Aesch
612.999;259.775;Dornach-Arlesheim
613.481;262.531;Münchenstein
590.879;243.559;Courtételle
588.854;242.701;Courfaivre
585.505;242.887;Bassecourt
582.667;242.730;Glovelier
